Ride Service,Feature,Probability
Yellow Taxi,Temperature,0.893
Yellow Taxi,Dew Point,0.6754
Yellow Taxi,UV Index,0
Yellow Taxi,Precipitation Intensity,0.7933
Yellow Taxi,Wind Speed,0.0026
Yellow Taxi,Cloud Cover,0.9711
Yellow Taxi,Apparent Temperature,0.8486
Green Taxi,Temperature,0.004
Green Taxi,Dew Point,0
Green Taxi,UV Index,0
Green Taxi,Precipitation Intensity,0.8735
Green Taxi,Wind Speed,0.3355
Green Taxi,Cloud Cover,0.0081
Green Taxi,Apparent Temperature,0.4826
Uber,Temperature,0.6467
Uber,Dew Point,0
Uber,UV Index,0
Uber,Precipitation Intensity,0.5198
Uber,Wind Speed,0.32
Uber,Cloud Cover,0
Uber,Apparent Temperature,0.0171
Lyft,Temperature,0.0001
Lyft,Dew Point,0.0319
Lyft,UV Index,0
Lyft,Precipitation Intensity,0.8679
Lyft,Wind Speed,0.1342
Lyft,Cloud Cover,0.8727
Lyft,Apparent Temperature,0.0178
Citi Bike,Temperature,0.0199
Citi Bike,Dew Point,0
Citi Bike,UV Index,0.5924
Citi Bike,Precipitation Intensity,0.0063
Citi Bike,Wind Speed,0
Citi Bike,Cloud Cover,0.0745
Citi Bike,Apparent Temperature,0.8929
