time,precipIntensity,temperature,apparentTemperature,dewPoint,windSpeed,cloudCover,uvIndex
1388552400,0,25.78,19.69,8.68,5.07,0,0
1388556000,0,25.02,19.34,8.59,4.57,0,0
1388559600,0,24.32,18.5,8.55,4.59,0,0
1388563200,0,23.95,18.77,8.91,4,0,0
1388566800,0,23.63,23.63,9.4,2.78,0,0
1388570400,0,23.6,23.6,10.12,1.83,0.04,0
1388574000,0,23.73,23.73,11.03,1.85,0.37,0
1388577600,0,23.61,23.61,11.84,1.24,0.33,0
1388581200,0,23.89,23.89,12.92,1.21,0.4,0
1388584800,0,26.77,26.77,14.54,2.14,0.36,0
1388588400,0,28.7,25.28,14.83,3.21,0.33,1
1388592000,0,29.87,26.26,15.09,3.47,0.39,1
1388595600,0,30.94,27.63,15.4,3.36,0.71,2
1388599200,0,31.76,31.76,16.58,2.96,0.65,1
1388602800,0,32.45,29.54,17.31,3.21,0.65,1
1388606400,0,32.63,32.63,18.06,1.13,0.42,0
1388610000,0,32.64,32.64,18.17,0.2,0.98,0
1388613600,0,32.16,32.16,18.49,0.11,0.87,0
1388617200,0,31.94,31.94,18.83,0.34,0.41,0
1388620800,0,31.72,31.72,19.35,0.88,0.62,0
1388624400,0,31.68,31.68,19.49,1.36,0.71,0
1388628000,0,31.61,31.61,19.62,1.9,0.91,0
1388631600,0,31.63,31.63,19.6,2.95,1,0
1388635200,0,31.65,28.37,19.82,3.41,1,0
1388638800,0,31.79,28.29,20.11,3.6,1,0
1388642400,0,31.77,27.53,20.48,4.26,1,0
1388646000,0,31.64,27.19,20.95,4.45,1,0
1388649600,0,31.41,26.87,21.88,4.5,1,0
1388653200,0,30.6,25.31,22.7,5.13,1,0
1388656800,0,29.23,23.01,23.51,5.91,1,0
1388660400,0,28.16,21.61,23.34,6.06,1,0
1388664000,0,27.6,20.8,22.81,6.23,1,0
1388667600,0,27.14,20.11,22.33,6.39,1,0
1388671200,0,26.91,19.52,21.83,6.81,1,0
1388674800,0,26.77,19.76,21.67,6.28,1,1
1388678400,0,26.81,19.29,21.39,6.93,1,1
1388682000,0,26.67,19.2,21.41,6.82,1,1
1388685600,0,26.29,18.57,21.03,7.05,1,1
1388689200,0,25.68,18.57,20.68,6.16,1,1
1388692800,0,25.52,18.57,20.84,5.94,1,0
1388696400,0,25.34,18.22,20.84,6.09,1,0
1388700000,0,24.97,18.03,20.36,5.81,1,0
1388703600,0,24.39,16.73,19.89,6.51,1,0
1388707200,0,23.6,16.26,19.49,5.96,1,0
1388710800,0.0003,22.65,14.41,19.23,6.78,1,0
1388714400,0.0024,21.4,12.8,18.25,6.91,1,0
1388718000,0.0019,19.98,11.28,16.64,6.68,1,0
1388721600,0.002,18.31,8.97,14.88,7.03,1,0
1388725200,0.0008,16.69,6.86,13.39,7.21,1,0
1388728800,0.0008,14.95,4,11.52,8.1,1,0
1388732400,0.0018,13.34,2.19,10.06,7.92,1,0
1388736000,0.0008,11.86,0.46,8.49,7.84,1,0
1388739600,0.0007,11.46,-0.96,8.08,8.97,1,0
1388743200,0.0009,11.85,0.68,8.43,7.57,1,0
1388746800,0.0004,12.1,0.89,8.56,7.68,1,0
1388750400,0,12.15,0.9,8.23,7.74,1,0
1388754000,0,11.36,0.04,7.34,7.62,1,0
1388757600,0,11.7,-0.14,7.45,8.32,1,0
1388761200,0,13.49,3.35,8.75,6.82,1,1
1388764800,0,15.9,5.77,9.61,7.36,0.88,1
1388768400,0,17,6.94,8.97,7.55,0.46,2
1388772000,0,17.2,6.57,7.15,8.33,0.3,2
1388775600,0,17.25,6.9,6.2,7.99,0.14,1
1388779200,0,16.77,6.05,4.25,8.32,0.08,0
1388782800,0,15.86,5.28,2.97,7.89,0.04,0
1388786400,0,14.39,4.9,1.31,6.34,0.03,0
1388790000,0,13.07,3.43,-0.02,6.24,0.04,0
1388793600,0,12.04,3.3,-1.04,5.27,0,0
1388797200,0,11.09,2.19,-2.01,5.27,0,0
1388800800,0,10.59,3.63,-2.39,3.82,0,0
1388804400,0,9.75,9.75,-2.4,2.48,0,0
1388808000,0,9.19,9.19,-2.34,2.42,0,0
1388811600,0,8.36,8.36,-2.05,1.73,0,0
1388815200,0,7.93,7.93,-2.03,1.59,0,0
1388818800,0,7.47,7.47,-1.6,0.62,0,0
1388822400,0,6.86,6.86,-1.53,0.11,0.04,0
1388826000,0,6.91,6.91,-1.02,0.24,0.08,0
1388829600,0,7.09,7.09,-0.8,0.35,0.07,0
1388833200,0,7.04,7.04,-0.63,0.33,0.17,0
1388836800,0,7.85,7.85,0.83,1.08,0.73,0
1388840400,0,8.48,8.48,0.72,0.76,0.12,0
1388844000,0,12.15,12.15,2.68,0.77,0.04,0
1388847600,0,15.89,15.89,3.98,2.71,0.04,1
1388851200,0,19.15,13.11,4.38,4.1,0.04,2
1388854800,0,21.71,15.7,4.37,4.39,0.04,2
1388858400,0,23.54,17.11,4.08,5.03,0.04,2
1388862000,0,25.12,19.91,4.56,4.18,0.04,1
1388865600,0,25.65,20.4,5.61,4.28,0.14,0
1388869200,0,25.9,21.64,7.27,3.53,0.2,0
1388872800,0,24.84,24.84,8.52,1.17,0.2,0
1388876400,0,24.33,24.33,9.72,0.99,0.33,0
1388880000,0,23.7,23.7,10.93,0.92,0.3,0
1388883600,0,23.86,23.86,11.88,1.13,0.12,0
1388887200,0,23.62,23.62,12.27,1.12,0.27,0
1388890800,0,22.87,22.87,12.53,0.98,0.05,0
1388894400,0,22.47,22.47,13.04,0.87,0.1,0
1388898000,0,22.17,22.17,13.91,1.02,0.09,0
1388901600,0,22.1,22.1,14.41,0.73,0.09,0
1388905200,0,21.76,21.76,14.84,0.54,0.05,0
1388908800,0,20.88,20.88,14.54,0.24,0.07,0
1388912400,0,20.56,20.56,14.86,0.23,0.09,0
1388916000,0,21.63,21.63,15.99,0.31,0.29,0
1388919600,0,22.18,22.18,17.21,0.21,0.62,0
1388923200,0,23.02,23.02,18.07,0.08,0.75,0
1388926800,0,24.99,24.99,20.24,0.07,0.93,0
1388930400,0,26.2,26.2,22.08,0.14,0.95,0
1388934000,0.0012,28.4,28.4,24.74,0.03,1,1
1388937600,0.0039,29.65,29.65,26.41,0.28,1,1
1388941200,0.0037,30.7,30.7,27.37,0.76,1,2
1388944800,0.0043,31.49,31.49,28.31,1.2,1,1
1388948400,0.0018,31.96,31.96,29.41,1.08,1,1
1388952000,0.0007,32.79,32.79,30.17,1.26,1,0
1388955600,0,33.26,33.26,30.77,1.35,1,0
1388959200,0,33.74,33.74,31.33,1.37,1,0
1388962800,0,34.38,34.38,31.98,1.61,1,0
1388966400,0,34.82,34.82,32.85,1.74,1,0
1388970000,0,35.68,35.68,33.67,1.51,1,0
1388973600,0.0006,36.21,36.21,34.3,1.02,1,0
1388977200,0.0016,37.5,37.5,35.96,1.24,1,0
1388980800,0.0017,41.17,41.17,39.48,1.45,1,0
1388984400,0.0045,45.34,43.05,43.68,4.57,1,0
1388988000,0.0268,48.4,46.29,47.39,5.08,1,0
1388991600,0.045,50.02,50.02,48.8,5.5,1,0
1388995200,0.0185,51.62,51.62,50.66,4.63,1,0
1388998800,0.0028,51.77,51.77,50.84,4.93,1,0
1389002400,0.0031,52.57,52.57,51.65,5.02,1,0
1389006000,0.0013,52.52,52.52,51.74,5.36,1,0
1389009600,0.0009,53.22,53.22,52.5,6.08,1,0
1389013200,0.0073,53.58,53.58,52.93,7.66,1,0
1389016800,0.0545,50.1,50.1,48.96,4.76,1,0
1389020400,0.0799,46.5,44.43,44.8,4.53,1,1
1389024000,0.0457,45.62,44.25,43.67,3.5,0.92,1
1389027600,0.0068,44.88,42.11,41.5,5.15,1,2
1389031200,0.007,41.42,37.08,37.36,6.59,1,1
1389034800,0.0092,39.66,35.62,34.15,5.62,1,1
1389038400,0.0016,39.72,35.76,31.91,5.51,0.91,0
1389042000,0,39.37,34.94,28.86,6.1,0.91,0
1389045600,0,37.96,33.27,24.42,6.08,0.95,0
1389049200,0,36.09,31.07,21.9,6.03,0.91,0
1389052800,0,34.78,29.1,19.22,6.61,0.99,0
1389056400,0,33.46,27.17,17.88,7.13,1,0
1389060000,0,31.25,24.56,15.86,7.05,0.67,0
1389063600,0,28.78,20.12,13.68,9.3,0.29,0
1389067200,0,24.44,14.2,8.97,10.26,0.11,0
1389070800,0,18.61,7.21,0.81,9.88,0.09,0
1389074400,0,14.21,2.05,-4,9.47,0.04,0
1389078000,0,11.59,-0.87,-5.52,9.06,0,0
1389081600,0,10.08,-2.43,-7.06,8.69,0,0
1389085200,0,8.62,-5,-8.53,9.67,0,0
1389088800,0,7.22,-6.23,-9.61,9.03,0,0
1389092400,0,5.95,-7.54,-10.57,8.75,0,0
1389096000,0,4.92,-8.97,-11.59,8.93,0.08,0
1389099600,0,4.18,-9.99,-12.05,9.07,0.08,0
1389103200,0,4.84,-9.68,-12.68,9.67,0.07,0
1389106800,0,5.71,-8.23,-12.86,9.21,0.08,1
1389110400,0,6.92,-6.66,-12.54,9.12,0.08,2
1389114000,0,7.76,-5.57,-12.11,9.04,0.08,2
1389117600,0,8.87,-3.44,-11.41,8.14,0.09,2
1389121200,0,9.46,-3.32,-10.68,8.86,0.09,1
1389124800,0,9.92,-1.66,-10.21,7.57,0.08,0
1389128400,0,9.47,-2.29,-9.76,7.67,0.08,0
1389132000,0,8.82,-2.36,-8.89,6.92,0.08,0
1389135600,0,8.69,-2.82,-8.48,7.24,0.08,0
1389139200,0,8.72,-1.65,-7.97,6.14,0,0
1389142800,0,8.81,0.01,-7.38,4.88,0,0
1389146400,0,8.9,-1.38,-6.87,6.09,0,0
1389150000,0,9.03,-1.1,-6.46,5.98,0,0
1389153600,0,9.04,-1.72,-6.13,6.56,0,0
1389157200,0,9.01,-0.93,-5.85,5.81,0,0
1389160800,0,8.86,-0.9,-5.36,5.64,0,0
1389164400,0,8.79,-0.12,-5.2,4.95,0,0
1389168000,0,8.75,0.39,-4.72,4.55,0,0
1389171600,0,8.62,0.54,-4.43,4.34,0,0
1389175200,0,8.71,-0.82,-3.85,5.42,0,0
1389178800,0,8.56,1.04,-3.55,3.98,0,0
1389182400,0,8.67,0.96,-3.12,4.1,0,0
1389186000,0,9.21,1.53,-2.49,4.14,0.14,0
1389189600,0,10.96,2.28,-2.2,5.06,0.26,0
1389193200,0,13.16,5.56,-1.39,4.53,0.21,1
1389196800,0,15.23,8.38,-0.5,4.23,0.14,2
1389200400,0,17.3,10.66,0.49,4.32,0.46,2
1389204000,0,18.96,12.23,1.2,4.61,0.36,2
1389207600,0,20.35,13,1.7,5.36,0.89,1
1389211200,0,21.17,14.17,1.94,5.17,0.4,0
1389214800,0,21.42,14.26,2.35,5.37,0.27,0
1389218400,0,20.42,14.82,2.45,3.91,0.21,0
1389222000,0,20.21,14.66,2.74,3.86,0.19,0
1389225600,0,20.26,14.83,2.94,3.77,0.33,0
1389229200,0,20.26,15.53,2.9,3.31,0.33,0
1389232800,0,20.2,20.2,3.46,2.63,0.49,0
1389236400,0,20.92,16.35,3.41,3.26,0.9,0
1389240000,0,21.39,21.39,4.13,2.63,0.98,0
1389243600,0,21.71,21.71,4.75,2.43,0.99,0
1389247200,0,21.98,21.98,5.43,2.17,1,0
1389250800,0,22.53,22.53,6.07,2.21,0.93,0
1389254400,0,22.81,22.81,6.51,2.79,0.46,0
1389258000,0,22.52,22.52,7.47,2.36,0.38,0
1389261600,0,22.22,22.22,8.73,2,0.27,0
1389265200,0,21.78,21.78,9.75,1.55,0.17,0
1389268800,0,21.05,21.05,9.95,1.19,0.19,0
1389272400,0,20.76,20.76,10.47,1.2,0.1,0
1389276000,0,23.89,23.89,11.72,2.35,0.14,0
1389279600,0,26.01,20.59,11.42,4.49,0.13,1
1389283200,0,27.95,23.89,11.16,3.61,0.08,2
1389286800,0,29.38,29.38,11.13,2.1,0.07,2
1389290400,0,30.56,30.56,11.03,1.28,0.08,2
1389294000,0,31.77,31.77,10.88,0.36,0.04,1
1389297600,0,32,32,10.84,0.27,0.05,1
1389301200,0,31.66,31.66,11.42,0.66,0.08,0
1389304800,0,29.77,29.77,12.48,0.19,0.19,0
1389308400,0,27.99,27.99,13.2,0.22,0.2,0
1389312000,0,26.84,26.84,13.66,0.13,0.25,0
1389315600,0,26.39,26.39,14.2,0.26,0.26,0
1389319200,0,26.24,26.24,14.88,0.7,0.33,0
1389322800,0,26.35,26.35,15.25,0.5,0.26,0
1389326400,0,26.07,26.07,15.92,0.52,0.53,0
1389330000,0,25.88,25.88,16.34,0.27,0.42,0
1389333600,0,25.96,25.96,17.36,0.17,0.58,0
1389337200,0,26.85,26.85,18.24,0.03,0.94,0
1389340800,0,27.55,27.55,18.97,0.27,1,0
1389344400,0,28.05,28.05,19.31,0.64,1,0
1389348000,0,28.5,28.5,19.73,0.6,1,0
1389351600,0,29.15,29.15,20.37,0.31,1,0
1389355200,0,29.56,29.56,21.21,0.46,1,0
1389358800,0,30.03,30.03,22.06,0.43,1,0
1389362400,0,30.66,30.66,23.78,0.54,1,0
1389366000,0.0084,30.7,30.7,26.19,0.49,1,1
1389369600,0.0175,31.3,31.3,27.96,0.27,1,1
1389373200,0.0093,32.41,32.41,29.2,0.4,1,2
1389376800,0.0016,33.16,33.16,30.13,0.57,1,1
1389380400,0.0008,33.56,33.56,30.7,0.34,1,1
1389384000,0.0027,33.77,33.77,31.3,0.28,1,0
1389387600,0.0049,34.06,34.06,31.77,0.24,1,0
1389391200,0.004,34.14,34.14,32.08,0.16,1,0
1389394800,0.0022,34.22,34.22,32.4,0.34,1,0
1389398400,0.0027,34.39,34.39,32.81,0.51,1,0
1389402000,0.0053,34.63,34.63,33.15,0.47,1,0
1389405600,0.0081,34.77,34.77,33.35,0.33,1,0
1389409200,0.0078,34.85,34.85,33.51,0.58,1,0
1389412800,0.0071,35.02,35.02,33.58,0.6,1,0
1389416400,0.0096,35.21,35.21,33.72,0.38,1,0
1389420000,0.0119,35.56,35.56,34.06,0.57,1,0
1389423600,0.0157,35.94,35.94,34.6,0.72,1,0
1389427200,0.0353,36.84,36.84,35.55,0.81,1,0
1389430800,0.0144,39.12,39.12,38.18,1.09,1,0
1389434400,0.0044,42.86,42.86,40.91,1.77,1,0
1389438000,0.0117,44.85,43.75,42.73,3.1,1,0
1389441600,0.0058,47.55,46.79,46.37,3.12,1,0
1389445200,0.0035,50.01,50.01,48.89,4.7,1,0
1389448800,0.0026,51.07,51.07,49.87,4.35,1,0
1389452400,0.0034,51.97,51.97,51.09,4.58,1,1
1389456000,0.0134,54.26,54.26,53.32,7.25,1,1
1389459600,0.0082,55.17,55.17,54.17,7.2,1,2
1389463200,0.0021,55.12,55.12,54.55,7.41,1,1
1389466800,0.0251,55.28,55.28,54.73,5.15,1,1
1389470400,0.0137,55.37,55.37,54.51,5.28,1,0
1389474000,0.0068,54.99,54.99,54.2,6.5,1,0
1389477600,0.022,55.48,55.48,54.2,5.26,1,0
1389481200,0.1037,55.06,55.06,53.78,4.28,1,0
1389484800,0.1189,54.54,54.54,53.21,2.86,1,0
1389488400,0.0292,53.69,53.69,52.21,2.22,1,0
1389492000,0.0029,52.59,52.59,51.56,4.35,0.87,0
1389495600,0.0002,53.1,53.1,51.85,4.65,1,0
1389499200,0.0014,52.88,52.88,51.13,5.56,1,0
1389502800,0.0002,52.47,52.47,50.48,4.82,1,0
1389506400,0.0056,50.27,50.27,46.33,5.39,1,0
1389510000,0.0045,48.92,46.47,42.62,5.82,0.9,0
1389513600,0,47.73,45.12,39.85,5.72,0.85,0
1389517200,0,46.38,43.21,36.91,6.27,0.55,0
1389520800,0,44.97,41.69,34.89,5.97,0.52,0
1389524400,0,43.86,40.22,32.82,6.23,0.49,0
1389528000,0,42.9,39.34,31.25,5.79,0.48,0
1389531600,0,42.7,39.23,31.13,5.6,0.83,0
1389535200,0,43.06,39.31,30.52,6.14,0.94,0
1389538800,0,43.56,39.69,29.92,6.53,0.94,1
1389542400,0,44.07,40.48,29.63,6.21,0.9,1
1389546000,0,43.93,40.03,29.22,6.71,0.89,2
1389549600,0,43.87,39.8,28.7,6.99,0.94,1
1389553200,0,44.57,40.7,28.62,6.9,0.75,1
1389556800,0,44.46,40.53,27.99,6.97,0.85,1
1389560400,0,43.93,40.2,27.88,6.42,0.66,0
1389564000,0,42.83,39.98,27.66,4.76,0.62,0
1389567600,0,41.37,38.61,27.98,4.34,0.31,0
1389571200,0,40.41,36.7,28.19,5.34,0.2,0
1389574800,0,39.61,37.32,28.06,3.54,0.16,0
1389578400,0,38.64,38.64,27.86,2.67,0.09,0
1389582000,0,37.83,35.39,27.64,3.44,0.04,0
1389585600,0,37.14,37.14,27.55,2.84,0,0
1389589200,0,36.12,36.12,27.32,2.08,0,0
1389592800,0,35.05,35.05,27.44,2.15,0,0
1389596400,0,34.99,34.99,27.71,2.02,0,0
1389600000,0,34.41,34.41,27.51,0.88,0,0
1389603600,0,33.33,33.33,26.98,1.09,0,0
1389607200,0,32.38,32.38,27.01,0.75,0,0
1389610800,0,32.02,32.02,26.89,0.77,0,0
1389614400,0,31.87,31.87,27.12,0.46,0,0
1389618000,0,32.31,32.31,27.74,0.36,0.08,0
1389621600,0,37.1,37.1,30.96,0.8,0.09,0
1389625200,0,41.29,41.29,32.76,2.29,0.21,1
1389628800,0,45.62,44.4,34.13,3.33,0.21,2
1389632400,0,47.23,45.63,36.47,4.05,0.36,2
1389636000,0,48.52,47.96,38.27,3.05,0.35,2
1389639600,0,48.82,48.21,38.8,3.14,0.34,1
1389643200,0,49.06,47.97,38.84,3.75,0.39,1
1389646800,0,49.34,48.11,38.26,4,0.35,0
1389650400,0,47.69,45.94,37.55,4.35,0.43,0
1389654000,0,47.01,45.42,37.13,4,0.43,0
1389657600,0,46.85,45.4,37,3.8,0.45,0
1389661200,0,46.48,44.93,36.74,3.83,0.39,0
1389664800,0,45.68,44.71,36.93,3.08,0.56,0
1389668400,0,44.78,44.78,37.14,2.5,0.43,0
1389672000,0,45,45,37.38,2.95,0.46,0
1389675600,0,44.64,44.64,37.3,1.54,0.51,0
1389679200,0,44,44,37.62,1.75,0.33,0
1389682800,0,43.98,43.98,38.16,2.06,0.44,0
1389686400,0,44.52,44.52,39.08,2.28,0.7,0
1389690000,0,45.17,45.17,39.8,2,0.87,0
1389693600,0,45.16,45.16,40.02,2.61,1,0
1389697200,0.0005,45.38,45.38,40.56,0.94,1,0
1389700800,0,45.15,45.15,40.73,2.04,1,0
1389704400,0.0108,44.97,44.97,41.64,2.45,1,0
1389708000,0.0211,44.91,44.91,42.64,2.51,1,0
1389711600,0.0187,45.81,45.81,44.06,0.96,1,1
1389715200,0.008,46.51,46.51,44.56,0.62,1,1
1389718800,0.0168,46.66,46.66,44.92,0.33,1,2
1389722400,0.0176,46.65,46.65,44.99,0.24,1,2
1389726000,0.0392,46.67,46.67,45.23,0.09,1,1
1389729600,0.0661,46.49,46.49,44.89,1.41,1,1
1389733200,0.055,46.06,46.06,44.49,2.4,1,0
1389736800,0.0238,45.6,45.6,43.74,1.64,1,0
1389740400,0.0259,45.27,45.27,43.22,1.82,1,0
1389744000,0.0078,44.96,44.96,43,1.43,0.94,0
1389747600,0.0003,45.14,43.59,42.84,3.6,1,0
1389751200,0,44.95,44.95,42.51,2.88,0.95,0
1389754800,0,44.03,44.03,41.81,1.72,0.6,0
1389758400,0,42.53,42.53,40.26,1.36,0.29,0
1389762000,0,41.66,41.66,39.47,1.52,0.38,0
1389765600,0,40.1,40.1,37.83,1.05,0.19,0
1389769200,0,38.88,38.88,36.4,0.42,0.17,0
1389772800,0,37.52,37.52,35.26,0.64,0.24,0
1389776400,0,36.79,36.79,34.82,0.79,0.08,0
1389780000,0,35.4,35.4,33.54,0.4,0.68,0
1389783600,0,33.95,33.95,32.74,0.17,0.93,0
1389787200,0,33.26,33.26,31.81,0.06,1,0
1389790800,0,32.68,32.68,31.85,0.64,1,0
1389794400,0,33.94,33.94,32.96,0.56,1,0
1389798000,0,35.51,35.51,34.69,0.64,1,1
1389801600,0,38.25,38.25,36.82,0.68,0.91,1
1389805200,0,40.92,40.92,38.3,1.19,0.89,2
1389808800,0,42.5,42.5,38.48,1.41,0.9,2
1389812400,0,43.73,43.73,39.21,2.11,0.87,1
1389816000,0,44.35,44.35,39.39,2.54,0.68,1
1389819600,0,43.09,43.09,38.98,2.47,0.9,0
1389823200,0,41.55,41.55,38.65,1.31,0.85,0
1389826800,0,40.5,40.5,38.1,1.23,0.94,0
1389830400,0,39.69,39.69,37.63,0.54,1,0
1389834000,0,39.27,39.27,37.77,0.16,1,0
1389837600,0,39.43,39.43,38.03,0.12,1,0
1389841200,0,39.34,39.34,37.97,0.05,1,0
1389844800,0,39.53,39.53,38.25,0.13,1,0
1389848400,0,39.6,39.6,38.18,0.3,1,0
1389852000,0,39.84,39.84,38.17,0.46,1,0
1389855600,0,39.92,39.92,37.13,1.36,1,0
1389859200,0,39.88,39.88,34.74,2,1,0
1389862800,0,39.46,39.46,33.35,2.2,1,0
1389866400,0,39.13,39.13,33.18,2.18,1,0
1389870000,0,38.82,38.82,33.48,2.23,1,0
1389873600,0,38.54,38.54,33.7,2.64,1,0
1389877200,0,38.21,35.95,33.64,3.33,1,0
1389880800,0,38.13,38.13,33.3,2.87,1,0
1389884400,0,38.06,38.06,32.77,2.6,1,1
1389888000,0,38.35,38.35,32.64,2.1,1,1
1389891600,0,38.63,38.63,32.7,2.38,1,2
1389895200,0,39.23,39.23,32.52,2.83,1,2
1389898800,0,39.43,37.67,32.56,3.04,1,1
1389902400,0,39.29,39.29,32.2,1.86,1,1
1389906000,0,38.91,38.91,31.98,1.58,1,0
1389909600,0,38.3,38.3,31.21,1.33,1,0
1389913200,0,37.83,37.83,31.09,1.96,1,0
1389916800,0,37.28,37.28,30.66,1.67,0.92,0
1389920400,0,36.92,36.92,30.34,0.92,1,0
1389924000,0,36.76,36.76,30.15,0.83,1,0
1389927600,0,36.28,36.28,29.87,0.57,1,0
1389931200,0,35.6,35.6,29.59,0.48,0.95,0
1389934800,0,34.26,34.26,28.73,0.61,0.44,0
1389938400,0,32.84,32.84,27.81,0.65,0.06,0
1389942000,0,31.56,31.56,26.61,0.45,0,0
1389945600,0,30.76,30.76,25.64,0.27,0,0
1389949200,0,30.02,30.02,24.69,0.29,0,0
1389952800,0,29.56,29.56,24.13,0.39,0.05,0
1389956400,0,29.46,29.46,23.58,0.54,0.11,0
1389960000,0,28.97,28.97,23.2,0.3,0.05,0
1389963600,0,29.85,29.85,23.75,0.33,0.19,0
1389967200,0,33.72,33.72,26.21,2.07,0.22,0
1389970800,0,37.07,34.42,27.56,3.53,0.26,1
1389974400,0,39.45,36.27,29.58,4.46,0.25,2
1389978000,0,41.33,39.14,30.47,3.69,0.4,2
1389981600,0,42.44,40.71,30.69,3.39,0.63,2
1389985200,0,43.43,43.43,30.52,2.63,0.37,1
1389988800,0,43.76,43.76,30,2.2,0.35,1
1389992400,0,43.17,43.17,29.77,1.04,0.27,0
1389996000,0,41.4,41.4,29.53,0.21,0.43,0
1389999600,0,39.57,39.57,28.96,0.16,0.47,0
