time,precipIntensity,temperature,apparentTemperature,dewPoint,windSpeed,cloudCover,uvIndex
1406865600,0,72.6,73.19,65.06,1.27,0.37,0
1406869200,0,71.6,72.21,65.03,0.77,0.18,0
1406872800,0,70.96,71.6,65.09,1.29,0.34,0
1406876400,0,70.46,71.15,65.33,1.43,0.42,0
1406880000,0,70.22,70.96,65.64,1.47,0.51,0
1406883600,0,70,70.74,65.61,1.25,0.38,0
1406887200,0,69.85,70.58,65.44,1.24,0.51,0
1406890800,0,70.1,70.83,65.55,0.88,0.49,0
1406894400,0,72.32,73.12,66.6,0.63,0.53,1
1406898000,0,74.72,75.6,67.74,1.09,0.53,2
1406901600,0,76.75,77.7,68.63,0.43,0.45,4
1406905200,0,79.9,82.73,68.97,0.31,0.32,6
1406908800,0,82.29,85.61,68.76,1.37,0.52,7
1406912400,0,82.6,85.56,67.86,2.31,0.71,6
1406916000,0,80.2,82.82,67.95,3.52,0.67,6
1406919600,0.0008,76.38,77.26,67.95,4.64,0.83,5
1406923200,0.0068,74.72,75.67,68.29,3.49,0.94,3
1406926800,0.0128,74.5,75.44,68.08,1.74,0.97,2
1406930400,0.002,74.63,75.59,68.32,1.3,0.87,1
1406934000,0,74.13,75.05,67.91,1.99,0.53,0
1406937600,0,73.48,74.36,67.47,1.45,0.6,0
1406941200,0,72.7,73.55,67.01,0.41,0.49,0
1406944800,0,72.08,72.9,66.7,0.31,0.89,0
1406948400,0,71.87,72.74,67.01,0.8,0.92,0
1406952000,0,71.61,72.48,66.9,0.45,0.81,0
1406955600,0,71.26,72.16,67.06,0.57,0.69,0
1406959200,0,70.79,71.67,66.83,0.18,0.43,0
1406962800,0,70.43,71.27,66.43,0.29,0.83,0
1406966400,0.0024,69.75,70.62,66.4,0.26,0.75,0
1406970000,0.0246,68.67,69.47,65.66,0.3,0.92,0
1406973600,0.064,66.98,67.59,63.82,0.4,0.96,0
1406977200,0.0867,65.54,66.02,62.47,1.08,1,0
1406980800,0.0724,65,65.5,62.41,2.07,0.96,1
1406984400,0.0468,65.55,66.08,62.85,2.94,0.95,2
1406988000,0.0088,66.42,66.96,63.18,3.62,1,3
1406991600,0.0014,68.02,68.5,63.21,3.67,1,4
1406995200,0,70.27,70.73,63.61,3.39,1,4
1406998800,0,72.13,72.56,63.76,3.87,1,4
1407002400,0,72.9,73.32,63.76,3.51,1,4
1407006000,0,72.9,73.33,63.81,3.23,1,4
1407009600,0,72.28,72.71,63.73,2.27,1,3
1407013200,0,71.89,72.34,63.76,2.92,1,2
1407016800,0,71.8,72.24,63.78,2.9,0.85,1
1407020400,0,70.82,71.26,63.52,2.19,0.83,0
1407024000,0,69.23,69.64,63,1.73,0.67,0
1407027600,0,67.92,68.31,62.51,1.26,0.49,0
1407031200,0,67.09,67.45,62.14,0.67,0.3,0
1407034800,0,66.49,66.86,62.01,0.39,0.23,0
1407038400,0,66.04,66.41,61.89,0.06,0.62,0
1407042000,0,66.12,66.51,62.08,0.09,0.68,0
1407045600,0,66.16,66.62,62.5,0.01,0.93,0
1407049200,0.0017,65.91,66.44,62.93,0.01,0.84,0
1407052800,0.0011,65.81,66.35,62.98,0.05,0.91,0
1407056400,0.0019,65.72,66.25,62.93,0.09,0.98,0
1407060000,0.0036,65.69,66.25,63.09,0.07,0.82,0
1407063600,0.0104,65.87,66.48,63.47,0.3,0.9,0
1407067200,0.0238,66.04,66.71,63.91,0.75,0.89,1
1407070800,0.0102,66.7,67.41,64.37,1,0.91,2
1407074400,0.0007,68.11,68.77,64.52,1.15,0.82,4
1407078000,0,70.05,70.62,64.35,1.32,0.83,5
1407081600,0,71.67,72.18,64.26,1.22,0.82,5
1407085200,0,72.84,73.31,64.17,1.05,0.88,5
1407088800,0,74.31,74.78,64.34,1.55,0.85,5
1407092400,0,75.02,75.46,64.14,1.01,0.92,4
1407096000,0,75.01,75.46,64.19,0.28,1,3
1407099600,0,74.69,75.16,64.38,0.52,1,2
1407103200,0,74.95,75.43,64.45,0.54,0.9,1
1407106800,0,74.24,74.74,64.57,0.43,0.65,0
1407110400,0,72.41,72.96,64.68,0.88,0.57,0
1407114000,0,70.66,71.29,64.96,1.1,0.7,0
1407117600,0,70.2,70.88,65.22,0.74,0.75,0
1407121200,0,69.61,70.3,65.12,1.03,0.74,0
1407124800,0,69.55,70.27,65.32,0.73,0.93,0
1407128400,0,69.75,70.5,65.55,0.71,1,0
1407132000,0,69.47,70.21,65.43,0.52,0.99,0
1407135600,0,69.42,70.17,65.5,0.62,1,0
1407139200,0,69.37,70.11,65.46,0.45,0.95,0
1407142800,0,69.21,70,65.7,0.52,1,0
1407146400,0,69.06,69.86,65.77,0.36,0.83,0
1407150000,0,69.49,70.34,66.18,0.38,0.63,0
1407153600,0,71.42,72.31,67.01,1.2,0.54,1
1407157200,0,74.02,74.85,67.17,1.33,0.57,2
1407160800,0,76.76,77.52,66.97,0.76,0.54,4
1407164400,0,78.57,79.25,66.47,0.71,0.56,5
1407168000,0,80.08,82.18,66.08,0.71,0.64,6
1407171600,0,81.17,83.28,65.93,1.57,0.68,6
1407175200,0,81.93,84.09,65.99,1.45,0.63,6
1407178800,0,82.07,84.44,66.55,2.67,0.61,5
1407182400,0,82.12,84.57,66.76,3.02,0.59,4
1407186000,0,81.42,84.17,67.72,3.32,0.34,3
1407189600,0,80.99,83.75,67.97,2.98,0.21,1
1407193200,0,80.26,82.79,67.62,2.49,0.35,0
1407196800,0,78.29,79.07,67.36,1.45,0.39,0
1407200400,0,76.15,76.98,67.51,0.55,0.31,0
1407204000,0,74.84,75.67,67.39,0.48,0.12,0
1407207600,0,73.81,74.58,66.7,0.69,0.18,0
1407211200,0,72.92,73.68,66.46,0.65,0.06,0
1407214800,0,71.97,72.73,66.21,0.3,0.1,0
1407218400,0,71.16,71.84,65.49,0.26,0.06,0
1407222000,0,70.2,70.85,64.99,0.11,0.23,0
1407225600,0,69.45,70.09,64.76,0.16,0.15,0
1407229200,0,68.38,69.01,64.38,0.08,0.24,0
